Date,Open,High,Low,Close,Shares Traded,Turnover (₹ Cr)
30-Jul-24,24839.4,24971.75,24798.65,24857.3,384989431,37576.58
31-Jul-24,24886.7,24984.6,24856.5,24951.15,333646302,35411.32
1-Aug-24,25030.95,25078.3,24956.4,25010.9,431313292,38822.9
2-Aug-24,24789,24851.9,24686.85,24717.7,345027881,35368.54
5-Aug-24,24302.85,24350.05,23893.7,24055.6,486994718,45066.65
6-Aug-24,24189.85,24382.6,23960.4,23992.55,312339387,31553.65
7-Aug-24,24289.4,24337.7,24184.9,24297.5,317564429,29738.85
8-Aug-24,24248.55,24340.5,24079.7,24117,311875940,30858.18
9-Aug-24,24386.85,24419.75,24311.2,24367.5,215129992,22339.19
12-Aug-24,24320.05,24472.8,24212.1,24347,279925100,30311.85
13-Aug-24,24342.35,24359.95,24116.5,24139,239727640,25459.58
14-Aug-24,24184.4,24196.5,24099.7,24143.75,303254705,27834.61
16-Aug-24,24334.85,24563.9,24204.5,24541.15,271611087,28521.9
19-Aug-24,24636.35,24638.8,24522.95,24572.65,243645503,22124.41
20-Aug-24,24648.9,24734.3,24607.2,24698.85,238318940,25478.73
21-Aug-24,24680.55,24787.95,24654.5,24770.2,257114212,27404.63
22-Aug-24,24863.4,24867.35,24784.45,24811.5,220345125,24227.03
23-Aug-24,24845.4,24858.4,24771.65,24823.15,206800655,23134.22
26-Aug-24,24906.1,25043.8,24874.7,25010.6,210266456,22166.86
27-Aug-24,25024.8,25073.1,24973.65,25017.75,223346636,26695
28-Aug-24,25030.8,25129.6,24964.65,25052.35,220419448,26994.19
29-Aug-24,25035.3,25192.9,24998.5,25151.95,353993900,43221.73
30-Aug-24,25249.7,25268.35,25199.4,25235.9,638166179,89554.91
2-Sep-24,25333.6,25333.65,25235.5,25278.7,222815249,28187.71
3-Sep-24,25313.4,25321.7,25235.8,25279.85,212131921,27276.14
4-Sep-24,25089.95,25216,25083.8,25198.7,253788501,26293.35
5-Sep-24,25250.5,25275.45,25127.75,25145.1,222242223,26272.38
6-Sep-24,25093.7,25168.75,24801.3,24852.15,311671856,33001.17
